"","locid","ndowid","timestamp","long_x","lat_y","hdop","species","mgmtarea","deviceid"
"1","NID10320 20160202 090125",10320,2016-02-02 01:01:25,-115.5767,36.04383,3.6,"MULD",26,39943
"2","NID10320 20160202 220029",10320,2016-02-02 14:00:29,-115.575,36.04296,2.8,"MULD",26,39943
"3","NID10320 20160202 230028",10320,2016-02-02 15:00:28,-115.5751,36.04301,2.4,"MULD",26,39943
"4","NID10320 20160203 000041",10320,2016-02-02 16:00:41,-115.575,36.04298,4,"MULD",26,39943
"5","NID10320 20160203 010030",10320,2016-02-02 17:00:30,-115.5751,36.04305,3,"MULD",26,39943
"6","NID10320 20160203 020014",10320,2016-02-02 18:00:14,-115.5752,36.04305,4,"MULD",26,39943
"7","NID10320 20160203 030023",10320,2016-02-02 19:00:23,-115.5752,36.04293,4,"MULD",26,39943
"8","NID10320 20160203 040048",10320,2016-02-02 20:00:48,-115.575,36.04294,2.6,"MULD",26,39943
"9","NID10320 20160203 045959",10320,2016-02-02 20:59:59,-115.5746,36.04289,2,"MULD",26,39943
"10","NID10320 20160203 060048",10320,2016-02-02 22:00:48,-115.5742,36.04294,3.4,"MULD",26,39943
"11","NID10320 20160203 070029",10320,2016-02-02 23:00:29,-115.5744,36.04295,1.8,"MULD",26,39943
"12","NID10320 20160203 080009",10320,2016-02-03 00:00:09,-115.5744,36.04299,2.2,"MULD",26,39943
"13","NID10320 20160203 090014",10320,2016-02-03 01:00:14,-115.5753,36.04296,3,"MULD",26,39943
"14","NID10320 20160203 100030",10320,2016-02-03 02:00:30,-115.575,36.0429,2.2,"MULD",26,39943
"15","NID10320 20160203 110030",10320,2016-02-03 03:00:30,-115.576,36.04224,4.2,"MULD",26,39943
"16","NID10320 20160203 120014",10320,2016-02-03 04:00:14,-115.5759,36.04228,2.6,"MULD",26,39943
"17","NID10320 20160203 130058",10320,2016-02-03 05:00:58,-115.5762,36.0429,3.8,"MULD",26,39943
"18","NID10320 20160203 140029",10320,2016-02-03 06:00:29,-115.576,36.04224,3,"MULD",26,39943
"19","NID10320 20160203 150019",10320,2016-02-03 07:00:19,-115.576,36.04191,3.6,"MULD",26,39943
"20","NID10320 20160203 160119",10320,2016-02-03 08:01:19,-115.576,36.04195,5.8,"MULD",26,39943
"21","NID10320 20160203 170030",10320,2016-02-03 09:00:30,-115.5761,36.04282,3.2,"MULD",26,39943
"22","NID10320 20160203 180014",10320,2016-02-03 10:00:14,-115.5771,36.04326,3.4,"MULD",26,39943
"23","NID10320 20160204 000135",10320,2016-02-03 16:01:35,-115.5775,36.0436,9.2,"MULD",26,39943
"24","NID10320 20160204 130029",10320,2016-02-04 05:00:29,-115.5815,36.0379,3.6,"MULD",26,39943
"25","NID10320 20160204 140030",10320,2016-02-04 06:00:30,-115.5815,36.03793,2.8,"MULD",26,39943
"26","NID10320 20160204 150017",10320,2016-02-04 07:00:17,-115.5817,36.03766,2.2,"MULD",26,39943
"27","NID10320 20160204 160030",10320,2016-02-04 08:00:30,-115.5791,36.03688,3.4,"MULD",26,39943
"28","NID10320 20160204 170050",10320,2016-02-04 09:00:50,-115.5779,36.03757,2.4,"MULD",26,39943
"29","NID10320 20160204 180015",10320,2016-02-04 10:00:15,-115.5754,36.03781,3.8,"MULD",26,39943
"30","NID10320 20160204 190030",10320,2016-02-04 11:00:30,-115.5746,36.03762,2,"MULD",26,39943
"31","NID10320 20160204 200030",10320,2016-02-04 12:00:30,-115.5746,36.03762,2,"MULD",26,39943
"32","NID10320 20160204 210014",10320,2016-02-04 13:00:14,-115.5743,36.03776,2,"MULD",26,39943
