"","locid","ndowid","timestamp","long_x","lat_y","hdop","species","mgmtarea","deviceid"
"1","NID10314 20151119 020029",10314,"2015-11-19 02:00:29",-115.5522,35.96865,2,"MULD",26,39954
"2","NID10314 20151130 110048",10314,"2015-11-30 11:00:48",-115.516,35.9866,3.2,"MULD",26,39954
"3","NID10314 20151130 120030",10314,"2015-11-30 12:00:30",-115.516,35.98668,2.2,"MULD",26,39954
"4","NID10314 20151130 130011",10314,"2015-11-30 13:00:11",-115.5159,35.98653,2,"MULD",26,39954
"5","NID10314 20151130 140017",10314,"2015-11-30 14:00:17",-115.5159,35.9865,1.6,"MULD",26,39954
"6","NID10314 20151130 150030",10314,"2015-11-30 15:00:30",-115.5159,35.98651,2,"MULD",26,39954
"7","NID10314 20151130 160011",10314,"2015-11-30 16:00:11",-115.5209,35.98695,2,"MULD",26,39954
"8","NID10314 20151205 220030",10314,"2015-12-05 22:00:30",-115.5112,35.99084,3.4,"MULD",26,39954
"9","NID10314 20151205 230016",10314,"2015-12-05 23:00:16",-115.5111,35.99081,3.2,"MULD",26,39954
"10","NID10314 20151206 000030",10314,"2015-12-06 00:00:30",-115.5126,35.99185,1.8,"MULD",26,39954
"11","NID10314 20151206 010016",10314,"2015-12-06 01:00:16",-115.5141,35.98699,3.6,"MULD",26,39954
"12","NID10314 20151206 020009",10314,"2015-12-06 02:00:09",-115.5181,35.98557,3.8,"MULD",26,39954
"13","NID10314 20151206 100029",10314,"2015-12-06 10:00:29",-115.5163,35.98918,2,"MULD",26,39954
"14","NID10314 20151206 110010",10314,"2015-12-06 11:00:10",-115.5163,35.98916,3.4,"MULD",26,39954
"15","NID10314 20151206 120000",10314,"2015-12-06 12:00:00",-115.5163,35.98924,1.6,"MULD",26,39954
"16","NID10314 20151206 130033",10314,"2015-12-06 13:00:33",-115.5167,35.98926,3.4,"MULD",26,39954
"17","NID10314 20151206 140030",10314,"2015-12-06 14:00:30",-115.5166,35.98943,4.8,"MULD",26,39954
"18","NID10314 20151206 150030",10314,"2015-12-06 15:00:30",-115.5167,35.98926,3.4,"MULD",26,39954
"19","NID10314 20151206 160015",10314,"2015-12-06 16:00:15",-115.517,35.98972,2.2,"MULD",26,39954
"20","NID10314 20151206 170017",10314,"2015-12-06 17:00:17",-115.5188,35.98986,2.2,"MULD",26,39954
"21","NID10314 20151206 180029",10314,"2015-12-06 18:00:29",-115.5202,35.98785,6.6,"MULD",26,39954
"22","NID10314 20151206 190016",10314,"2015-12-06 19:00:16",-115.52,35.98789,4.8,"MULD",26,39954
"23","NID10314 20151206 200030",10314,"2015-12-06 20:00:30",-115.5201,35.98787,1.8,"MULD",26,39954
"24","NID10314 20151206 210015",10314,"2015-12-06 21:00:15",-115.5204,35.98823,1.8,"MULD",26,39954
"25","NID10314 20151217 190054",10314,"2015-12-17 19:00:54",-115.5122,35.9761,1.8,"MULD",26,39954
"26","NID10314 20151230 190047",10314,"2015-12-30 19:00:47",-115.5184,35.98612,5,"MULD",26,39954
